,Sentence,Sentiment
56,$AMD big dumping... would not touch it for a while,negative
57,$AMGN And #UCB Announce Positive Top-Line Results From Ph3 Study Evaluating Romosozumab In Men... https://t.co/4hBoUDR8B8 via @YahooFinance,positive
58,$AMRN Got sell signal 7/1/14 still in force with target below 1.50,negative
59,$AMRN It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.,positive
60,$AMRN You can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. Currently it is the shorts rejoicing,negative
61,$AMZN Going thru the roof needs a sell!,positive
62,$AMZN Trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zG,neutral
63,$AMZN long into earnings. looks good over 600,positive
64,$AMZN new HOD with conviction keeping $570 on watch for Resistance.,positive
65,"$AMZN rejected that 604 to the penny. Weak open and it goes r/g within first 30 mins, could have 8-10 points in it. https://t.co/58tEAEXxpE",negative
66,"$AMZN trades in mid to upper range. No break out yet, either direction",neutral
67,$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF,positive
68,$ARIA This is the reason why shorts don't show up...long steady small climbs. The best way to accrue value. IMO,positive
69,$ASTX Daily technical indicators are bullish. Breakout watch over 4.58  http://stks.co/eOvw,positive
70,$ATHN Seems like a good short setup. Stop above the 50 day. No position.,negative
71,"$ATVI ooks pretty bullish for now. from a short-term perspective, it's got a good chance of maybe sliding back to 33.70 #stocks #investing",positive
72,$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,positive
73,$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,positive
74,"$AXDX I got bored, and took my proprietary profit exit. I didn't like the option liquidity and lousy spreads.",negative
75,$AXP Looking for continuation with volume increase http://stks.co/c8sR,positive
76,$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,neutral
77,$BAC $ADSK $NFLX long this morning,positive
78,$BAC in for swing trade  looks like want go up,positive
79,$BBRY Actually lost .03c per share if U incl VZ as no debt and 3.1 in Cash.,negative
80,$BBRY Ready for Take OFF!,positive
81,$BBRY Sierra. Has a great cash balance and impressive growth rate.Would be a wonderful marriage!,positive
82,$BBRY both 1m/6m trends turn bullish today with a resistance level at $11.31. http://stks.co/j1qt6,positive
83,$BBRY bye bye Sammy. Hello BB. Sounds like we'll see some green tomorrow.,positive
84,$BBRY hearing rumours of a major joint venture announcement.,positive
85,$BBRY lets see 14+ today,positive
86,$BBRY nice bounce,positive
87,$BIOC RSI extremely in long's favor looking at BIOC historically.,positive
88,$BOBE down $2.84  premarket,negative
89,$BONE Earnings Stocks Poised to Pop http://stks.co/2zWE,positive
90,"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",positive
91,$BWLD bearish engulfing candle,negative
92,$BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF,positive
93,$CAMT Looks like might break down. I'm out,negative
94,$CAT is hangin on my a thread. 1click away from a cliff drop.. Needs follow through (or snap-back on the VIX),negative
95,$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,positive
96,"$CELG back near 104, where it opened and rallied higher last wk. A good place to take a shot https://t.co/zwHThSvFSF",positive
97,$CERN - consolidating above 50 & 200 MA - nice long entry here w stop below 10 MA - targeting $70 area,positive
98,"$CHKP ABC Bullish Pattern, Targets https://t.co/uVMmRSR5Zy",positive
99,$CHRM Loooooongggggg base,positive
100,$CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.,positive
101,"$CNDO 21% short float, shorts likely to take profits into close",negative
102,"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc",positive
103,$COH Gaining Momentum! Nice buy signals here! Long Over $35.92 http://stks.co/t0tAh,positive
104,$COST Costco less than stellar day but it held the 50 day moving average,negative
105,$COST short finally making gains. I will take half my gains at 147,negative
106,$CRK time to accumulate for a long position with far more upside than downside,positive
107,$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,positive
108,$CRUS Upgraded to a buy by Alpha Street Research,positive
109,$CSX another strong rail today after breaking intraday resistance at 1$9.80 https://t.co/eA4FBVuqGP,positive
110,"$CSX is up today to report.  Wall Street is expecting EPS to be at $0.37, and revenues at $2,732B.",positive
111,$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,positive
112,$CTRP breaking out https://t.co/Z2je3rTKch,positive
113,"$CTRP just broke resistance, watching for a #redtogreen #breakout right out of the gate tomorrow morning. #stocks https://t.co/8VXFUUIt04",positive
114,$CTRP not a bad long chart now that it's through sma100 resistance.,positive
115,$CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4,positive
116,$DARA breaking out,positive
117,$DCTH Near HOD,positive
118,$DDD 3D Systems (DDD) Stock Receives Ratings Downgrade Today at Jefferies http://stks.co/g1cqd,negative
119,"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",positive
120,$DISH weakness continues again. 49.43 area resistance after last week,negative
121,$DMND green and moving,positive
122,$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN,positive
123,"$DNN picked some up, like this going into 2014",positive
124,"$DPZ broke out now of his bull flag channel and make new highs, but volume is very poor",positive
125,$DUG weekly stochastics finally starting to turn up after long consolidation. Buying here.,positive
126,$DXCM - Making higher highs & higher lows as it consolidates over past several weeks. 26.70 was all time high (2006).,positive
127,$EA points to the two Facebook games and accuses $ZNGA of copyright infringement. http://stks.co/g3A1,negative
128,$EBAY  e-bay bay!  working on a couple daily dojis .. should continue to the downside  https://t.co/lgU0yBxEZe,negative
129,$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,positive
130,$EDU bouncing nicely after add-on (posted),positive
131,$EFUT hod  posted buy pm at $4.40,positive
132,$ELN longs...congrats...another HOD,positive
133,$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,positive
134,"$ENDP - we saw a large order in this one last week, someone also accumulating May & Jun 35's Calls today",positive
135,$ENDP Was looking for a long entry but today's price action wasn't appealing,neutral
136,$ENDP being sued by FTC.....nobody will buy them with that hanging over their heads,negative
137,"$ENDP exit reversal .11 X 3K shares = $330 - now Long - not getting follow through, either side of price action",positive
138,"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative
139,$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,positive
140,$ETN UPGRADE today by MS to overweight.  Excellent company and leadership,positive
141,$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,positive
142,"$FAST $GWW - daily sales slowing again, pretty timely coincident indicator https://t.co/m6BKHBkzK5",negative
143,$FB  rejecting HIGHS shortable...at 109,negative
144,$FB $AAPL $NKE $JWN bearish charts keep getting worse.,negative
145,$FB & $TSLA cracking lower early. $short #correction #stocks,negative
146,$FB (110.20) is starting to show some relative strength and signs of potential B/O on the daily.,positive
147,$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,positive
148,$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,positive
149,$FB I've been dead on so far. Such a bloated valuation. https://t.co/czCf8Kbrlt,negative
150,$FB Nice buyable intraday dip right here,positive
151,$FB SHIFTING ON THE 15 MINUTE HERE - SUSPECT TO TAKE HIGHS,positive
152,$FB bot some @78.47 breakout from the consolidation zone :D,positive
153,$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,negative
154,$FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh,negative
155,$FB gettin in the buy zone soon ;),positive
156,$FB gone green on day,positive
157,$FB i guess they want it down look at the those sell orders,negative
158,$FB popping up to HOD,positive
159,$FB slight green... May be runner later,positive
160,$FB still a dog going much lower this week,negative
161,$FB they are hitting  everything in sight.short it. but twtr,negative
162,"$FB trend, hits mid 110's and drops",negative
163,"$FB trending nicely, intraday.",positive
164,$FB turns back down in early trading.... https://t.co/reuf5PzhBm,negative
165,$FB watching for bounce tomorrow,positive
166,$FIO won't stay down,positive
167,$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive
168,$FTI Breakout today after reporting earnings last night,positive
169,$GALE Breakout Coming Soon!,positive
170,$GDX $GDXJ $JNUG - strong move today for the Junior Gold Miners - keep an EYE out for a gap fill -,positive
171,$GEVO PLUNGING!  Back to $3.55.,negative
172,$GILD  is expanding its research facilities...keeping up with the pace of innovation  https://t.co/uOE7FJ4LOP,positive
173,$GILD 91 now support. $IBB $BIB https://t.co/GIoOf6zbKv,positive
174,"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",neutral
175,$GILD chart: With $IBB back over support. https://t.co/GpRZ2UJFC4,positive
176,$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,negative
177,"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",positive
178,"$GMCR with the way this has been acting, it may fall to 65 today, horrible action since it hit 70 yesterday",negative
179,$GNRC finding support at its 10-day line so far.,positive
180,$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,positive
181,$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,positive
182,$GOOG resistance turned support?  It,positive
183,$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8,negative
184,$GOOGL gets an upgrade price target $970,positive
185,$GOOGL is a short below 740 into the upper BB and is overbought,negative
186,$GOOGL is setting up above its 50-day moving average. https://t.co/tTm9RnFoXJ,positive
187,$GPRO down 25% since Tue morning.,negative
188,$GPS Gap September Comparable Store Sales -4%,negative
189,$GRPN might be selling off ahead of $P earnings...,negative
190,$GS is looking weak while this market is moving higher not a good sign. Unless $gs can get above 157. early short below 154.00 today.,negative
191,$GS sells flat..I am out..,negative
192,$GTAT Will re-enter short on bounce...,negative
193,$GTE LONG at 7.44,positive
194,"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us",neutral
195,$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,positive
196,$HITK  Resuming advance into new historical highs.,positive
197,"$HLF shorts made a killing last couple days, might make more if cover and buy back?",negative
198,"$HPQ Says Breakup Will Cost Billions, but Sees Savings Too http://stks.co/p27hZ",negative
199,$HRL ready to pop! http://stks.co/s0Ny4,positive
200,"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill",positive
201,$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6,positive
202,$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,negative
203,$IACI http://stks.co/tJU Looks good on the weekly chart.,positive
204,$IBIO  up 10% in premarket ready for lift off,positive
205,$IBM staying strong,positive
206,$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,positive
207,"$IFF technical alerts: Stochastic Sell Signal, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY",negative
208,"$IMRS - it's important to be pragmatic in analysis...high prices could offer head-winds....bullish story intact,evenif the market rolls over",positive
209,"$INO Up, up, and away!",positive
210,$INO back in this am small post,positive
211,"$INTC & $AAPL strong, tech leads DOW higher",positive
212,$INTC finally some nice downside move... looking for the 31 handle to break,negative
213,"$INTU is in the process of streamlining its structure, especially through divestment of non-core businesses   https://t.co/dR5baNun2u",positive
214,$INVE : SEE YA ABOVE $8,positive
215,$ISR- @IsoRay Up 6% and high on volume http://stks.co/iFpo #biotech,positive
216,$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,negative
217,$ISRG Break out confirmed. Bought Leaps. Good trading!,positive
218,$ISRG PT raised to $700 from $640 at Leerink - keeps Outperform rated,positive
219,$IWM buy programs popping $iwm for close print cheap money means higher stock prices $spy robot buying,positive
220,$IWM relative weakness is pretty apparent but the short boat is getting full on this one. I prefer the boat closer to empty.,negative
221,$IWM same conditions that sent markets to tumble all hitting this week,negative
222,$JD down 20% in after-hour market. anyone care to explain why?,negative
223,"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",positive
224,$JNK http://stks.co/2Fcm Does not want to go down... risk appetite still high,positive
225,$KCG bot at 2.24,positive
226,$KEP breaking out when the market pulls back  http://stks.co/r0cet,positive
227,"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.",positive
228,$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,negative
229,$KITD Looking for a oversold bounce.,positive
230,"$KNDI #China #ElectricCar maker. China car sales +7.8%. Also, may feed off $TSLA momentum run lately.",positive
231,"$KNDI Break that HOD on volume, and we have a nice consolidation completed for another run.",positive
232,"$KNDI Let's see some higher highs and higher lows rest of the day , slow and steady",positive
233,"$KO had missed earnings expectations for the last two quarters, so today’s strong results came as a major surprise http://stks.co/d0RHF",positive
234,$LEE http://stks.co/24kM LEE ready to exit bankruptcy. Strong volume today.,positive
235,$LINE biggies must be loading up here at lows..,positive
236,$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,negative
237,$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,positive
238,$LSCC Accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/aDpO,positive
239,$LULU #Outlook #Q1 2013 #lost revenue in the range of $12 million to $17 million -not good,negative
240,"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look",positive
241,$LUV Continues to consolidate above previous break out area...,positive
242,$MA http://stks.co/1CYN continues to consolidate / base here,positive
243,$MFLX up  pre mkt. Looks like GAP has been filled....lookin 4 short opt here,negative
244,$MOS looking good here at $58.65. Calls are active in this month and weekly,positive
245,$MPWR CEO sells 450k april 15th..meh,negative
246,$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive
247,$MTD (Mettler-Toledo) ready for a breakout,positive
248,$MXWL Oh snap. Just went long again. LT,positive
249,$NEON oversold,positive
250,$NFLX +1% $104.80 LONG streaming services rapidly outpacing traditional cable,positive
251,$NFLX +3% of the lows,positive
252,$NFLX Easy pop to 500$ by end of feb.. Then steady as she goes for 600 into second earnings report..800$ year end no matter what,positive
253,$NFLX I say it's time to short at this point.,negative
254,$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,positive
255,$NFLX and $TSLA making all kinds of gains 📈,positive
256,"$NFLX small pos, short 180 wkly puts.",negative
257,$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,negative
258,$NKE gapping up to all time highs http://stks.co/q1jAu #tradeideas http://stks.co/r1j6c,positive
259,$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,negative
260,$NSM ascending base breakout starting to gain traction; strong stock http://stks.co/gBSH,positive
261,$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,positive
262,$NUGT Gold above 1400...wow,positive
263,$NUGT longer term bullish,positive
264,$NVDA sideways,neutral
265,"$ONTY Continues to base as debate lingers. ONT-10 data next potential catalyst. If positive, stock quickly moves to $10. Downside limited.",positive
266,$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days,positive
267,$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,negative
268,"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",positive
269,$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,neutral
270,$PCLN Back to Back intraday reversals look out below. Shorts moving in!,negative
271,$PCLN Trying to break daily trend line! Big move could happen https://t.co/gY0aDb2jsQ https://t.co/KPBBCgQ2xy,positive
272,$PCLN runs into the 50sma on the acquisition news,positive
273,$PG Ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.,positive
274,$PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU,positive
275,$PLUG Closed short position. Small gain. Not interested in options expiring worthless,positive
276,$PLUG bear raid,negative
277,$PPG Descending triangle but I am liking it for an upside break http://stks.co/o9nY,positive
278,$PRGN A bottom right here?,neutral
279,$PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.,positive
280,$PYPL great vol flow trade here.. Love this company long time.,positive
281,"$QCOM The indicator RSI is over 50, which stands at 56.1, an upward movement is expected. https://t.co/yfa9jcUsQa",positive
282,"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",negative
283,"$QCOR Just added 3,000 shares @28.",positive
284,"$QCOR a little pullback is fine but if this erases all of todays gains, I cannot believe the manipulation its capable of",negative
285,"$QIHU totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",negative
286,$RAD All my charts are flashing oversold.,neutral
287,$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,positive
288,$RCON some upside today. This thing is severe low float. If there is catalyst for this guy. It can run.,positive
289,$RDC Rowan Expands Share Repurchase Program to $150 million,positive
290,$REN bottoming out again.. Good time to buy,positive
291,"$RIG whos ever pushing this is crazy, get ready for suspended dividend (turning into growth stock) blow out earnings, and major buyback, lol",neutral
292,$RIMM $spx $nya $compq $djia all going down,negative
293,$RNN More bleeding Monday.,negative
294,"$RNN day traders flushed out, it should start going up slowly from now on .",positive
295,$RNN staying above the open a very good sign!!!,positive
296,$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,positive
297,$ROST Ross Stores Upgraded to Outperform at RBC Capital Markets http://stks.co/j0Q9t,positive
298,$RSH - looking for first profitable quarter in 3 years!!!  ;).  LONG & STRONG,positive
299,$RSOL bought 3500 shares today!,positive
300,"$RUSS Don't catch falling knives, but I think an entry is coming soon on this",positive
301,"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",negative
302,$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative
303,$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4,positive
304,$SAVE long. https://t.co/yEJuS9cMlC,positive
305,"$SBUX down PM, from $DB downgrade.. PT cut from 70 to $64",negative
306,$SBUX downgraded to neutral at Deutsche Bank. Price target reduced to $64 from $70.,negative
307,$SBUX getting sold here.,negative
308,$SBUX heading for the 200DMA and certain doom if it can not hold there.,negative
309,$SBUX inverted head & shoulders pattern in the works. bullish.,positive
310,"$SDS +1.46% 15.32, picking up some speed. May 16 calls now +35% .19: http://stks.co/3eiK, Next week $16 calls .11c: http://stks.co/3eiL",positive
311,$SIGA Bid for Reargument Denied by Judge,negative
312,"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now",negative
313,$SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.,positive
314,$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,positive
315,"$SLV -4.44% at 18 now AWFUL, down from 42.50",negative
316,"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",negative
317,"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg",positive
318,$SMH got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower than 37.60 gap below at 35.38,negative
319,$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,positive
320,$SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher,positive
321,$SPY  still wants higher I think.,positive
322,$SPY $MITK fast 56pc dive http://stks.co/3ffN $$,negative
323,$SPY Could the pride of social media be gettin ready to fall?  $FB - chart rolling over?,negative
324,$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,positive
325,"$SPY Less than 0.2% down and people are calling it bearish. Some heading for exits already. Maybe 1% down will be ""the crash""? Disturbing!",negative
326,$SPY Long 1/2 position 137.89,positive
327,$SPY Looks like bear traps getting laid faster than Cadbury Creme Eggs by the Easter Bunny,positive
328,$SPY Tomorrow party time for the Bears!! $GOOG and $MSFT -5.5%,negative
329,$SPY bull move ended waiting for next setup,negative
330,$SPY c'mon bulls buy DIPS!,positive
331,$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,negative
332,$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,positive
333,$SPY weak close,negative
334,$SPY wouldn't be surprised to see a green close,positive
335,"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.",positive
336,"$STX long play, another consistent profit zone.. check it out https://t.co/DQfuzOzYlh https://t.co/ggne4ayzqn",positive
337,$STX move off the bottom but still in bear market #datasecurity $EMC $SNDK $WDC https://t.co/VkYdWPxeSN,negative
338,$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,positive
339,$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66,neutral
340,$TROW Ascending triangle gives a bullish bias to this chart. Breakout above 84 will be positive http://stks.co/g0ls5,positive
341,$TRX http://stks.co/1KkK Long setup. MACD cross.,positive
342,"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls",positive
343,$TSLA <STUDY the CHARTS> Pullback_Time https://t.co/ZMDG0fb3I7,negative
344,$TSLA I see more downside in next two weeks be careful -20 dollars drop potential vs +10 up moved,negative
345,"$TSLA Recalls 2,700 Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj",negative
346,"$TSLA TO RECALL 2,700 MODEL X SUVS FOR SEAT-BELT FIX",negative
347,$TSLA Wish had my puts back but see if we can find support around 243.39 and pop up so that I can get back in. https://t.co/hFkLq3WObV,negative
348,$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,negative
349,$TSLA announces a recall and the stock doesn't sell off. This stock is teflon. Won't last forever.,positive
350,$TSLA gyrating @ S1 above gap. keeping an eye on S2 http://stks.co/jQfB,positive
351,$TSLA is now up 57% from its February low. Amazing rebound.,positive
352,"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",positive
353,"$TSLA lots of green on the 5 min, watch the hourly $259.33 possible resistance currently @ $257.00",positive
354,$TSLA not dipping - testing the 200 day ma https://t.co/jEPLmZQKGW,positive
355,"$TSLA on fire, what is that 6 up days in a row. Someone neeeeds!! in",positive
356,$TSLA recall,negative
